"lon","lat"
NA,NA
-8.8378454,41.8732082
NA,NA
-8.8565175,41.8490076
NA,NA
NA,NA
-8.6411844,41.0022716
-8.6410332,41.0071914
-8.6260345,40.9725092
-8.6259192,40.9919256
NA,NA
NA,NA
NA,NA
-8.7912313,41.5442136
NA,NA
-6.9617993,41.5370005
-6.9617993,41.5370005
-8.7227327,41.2413157
NA,NA
-8.7156296,41.2244434
NA,NA
-8.7031458,41.1887218
NA,NA
-8.7210719,41.23733
NA,NA
-8.6987946,41.2496056
-8.6374168,41.0468702
-8.2370675,41.2478307
NA,NA
-8.6291053,41.1579438
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-8.8610421,41.7793772
-8.822001,41.6441629
-8.867333,41.7699402
-8.8289264,41.682677
NA,NA
-8.7694535,41.6379963
-8.8223815,41.6480933
NA,NA
-8.7478619,41.3517302
-8.7478619,41.3517302
-8.718171,41.2781543
-8.7205877,41.3154764
NA,NA
-8.651466,41.0499093
-8.6117851,41.1238759
-8.6117851,41.1238759
-8.6117851,41.1238759
-8.6440155,41.0818443
-8.6117851,41.1238759
-8.6484476,41.0416432
-8.6666415,41.1309088
-8.65,41.0666667
-8.6603307,41.0994837
-8.5654153,41.0044696
-8.6117851,41.1238759
-8.649627,41.0681252
-8.659656,41.1174492
NA,NA
-8.6545389,41.0696471
-8.65,41.0666667
-8.6603307,41.0994837
NA,NA
NA,NA
-8.770147,40.322234
-8.3542753,40.2024327
-8.8748765,40.1772903
-8.8584908,40.1241734
NA,NA
-8.8874194,40.0561147
-8.8473024,40.2250864
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-8.7381261,40.4287977
NA,NA
-8.6285596,40.7464795
-8.7052604,40.7606812
NA,NA
NA,NA
-8.6266922,40.9580147
-8.6754221,40.8730243
NA,NA
NA,NA
-8.28054,40.2704883
NA,NA
-8.8349093,40.0061336
-7.6873706,40.3285113
-8.3717672,40.7334189
NA,NA
-8.7517815,40.5615403
-8.2720268,39.5429559
NA,NA
NA,NA
-9.1343971,38.7113534
NA,NA
NA,NA
-9.1651047,38.6765238
NA,NA
-9.2073114,39.4273446
-9.135404,39.4048977
-9.3823559,38.7121184
-9.3378114,38.6879164
-9.4679621,38.7227811
-9.4107058,38.73527
-9.3553319,38.692914
-9.4090659,38.7071913
-9.3987061,38.7025969
-7.4020922,40.4072113
NA,NA
NA,NA
NA,NA
NA,NA
-9.4190274,38.9673302
-9.4000802,38.933497
