code,lat,lon,city,state
[01R],31.22,-92.95,Claiborne R,LA
[01T],28.13,-94.4,High Island,LA
[0E4],34.23,-111.33,Payson,AZ
[0V1],43.77,-103.6,Custer,SD
[0Z5],22.38,-159.67,Kilauea Pt,HI
[18N],41.3,-72.08,New London,CT
[1G7],28.78,-89.05,Missippi Can,LA
[1K5],37,-101.88,Elkhart,KS
[1O5],41.73,-122.53,Montague,CA
[1V1],39.53,-107.8,Rifle,CO
[1Y7],32.85,-114.4,Yuma Prv Gd,AZ
[1Z2],20.42,-156.47,Upolo Pt Ln,HI
[1Z6],24.45,-166.47,Fr Frigate,HI
[27U],45.18,-113.9,Salmon,ID
[2C2],32.63,-106.4,White Sands,NM
[2DP],36.13,-76.5,Dare Co Gr,NC
[2V9],38.55,-106.93,Gunnison,CO
[30B],41.78,-70.5,Cape Cod Can,MA
[30N],41.22,-72.67,New Haven,CT
[3B1],45.45,-69.55,Greenville,ME
[3DU],46.67,-113.15,Drummond,MT
[3HT],46.43,-109.83,Harlowton,MT
[3KM],37.75,-97.22,Col. J Jabar,KS
[3OI],40.62,-93.93,Lamoni,IA
[3S2],45.25,-122.75,Aurora,OR
[3SE],43.17,-95.15,Spencer,IA
[3TH],47.6,-115.37,Thompson Fal,MT
[41I],28.47,-91.78,Eugene Is.,LA
[43M],39.73,-77.43,Site R,PA
[44W],35.25,-75.5,Diamond Sho,NC
[4BK],42.08,-124.47,Brookings,OR
[4BL],38.03,-109.78,Blanding,UT
[4BQ],45.67,-105.67,Broadus,MT
[4CR],34.1,-105.68,Corona,NM
[4DG],42.75,-105.38,Douglas,WY
[4HV],38.37,-110.72,Hanksville,UT
[4LJ],38.12,-102.6,Lamar,CO
[4LW],42.18,-120.35,Lake View,OR
[4MC],44.35,-104.81,Moorcroft,WY
[4MY],34.98,-106.05,Moriarity,NM
[4OM],48.42,-119.53,Omak,WA
[4SL],36.02,-106.95,Cuba Awrs,NM
[4SU],35.33,-117.1,Superior Val,CA
[51Q],37.75,-122.68,San Francisco,CA
[53Q],37.83,-122.83,Pillaro Pt,CA
[5BI],60.82,-152.3,Big River Lk,AK
[5CE],60.33,-145,Cape St Eli,AK
[5EA],63.83,-149,Healy River,AK
[5GN],61.9,-147.3,Tahneta Pass,AK
[5HN],60.38,-147.08,Cape Hinchi,AK
[5HR],61.98,-152.08,Hayes River,AK
[5I3],37.48,-82.52,Pikeville,KY
[5PX],63.03,-145.5,Paxson,AK
[5R0],28.22,-93.75,High Is,LA
[5SO],62.03,-146.67,Snowshoe Lk,AK
[5SZ],62.73,-143.92,Duffys Tavern,AK
