"report_date","State","value","region","lon","lat"
2016-04-02,"Rondonia",618,"Norte",-63.580611,-11.5057341
2016-04-02,"Acre",375,"Norte",-70.8119953,-9.0237964
2016-04-02,"Amazonas",1520,"Norte",-65.8560646,-3.4168427
2016-04-02,"Roraima",44,"Norte",-62.0750998,2.7375971
2016-04-02,"Para",771,"Norte",-54.9306152,-1.9981271
2016-04-02,"Amapa",74,"Norte",-50.7874222,2.0447397
2016-04-02,"Tocantins",2893,"Norte",-48.2982474,-10.17528
2016-04-02,"Maranhao",1202,"Nordeste",-45.2744159,-4.9609498
2016-04-02,"Piaui",7,"Nordeste",-42.7289236,-7.7183401
2016-04-02,"Ceara",156,"Nordeste",-39.3206241,-5.4983977
2016-04-02,"Rio_Grande_do_Norte",640,"Nordeste",-36.954107,-5.4025803
2016-04-02,"Paraiba",1060,"Nordeste",-36.7819505,-7.2399609
2016-04-02,"Pernambuco",333,"Nordeste",-36.954107,-8.8137173
2016-04-02,"Alagoas",1479,"Nordeste",-36.7819505,-9.5713058
2016-04-02,"Sergipe",348,"Nordeste",-37.3856581,-10.5740934
2016-04-02,"Bahia",25061,"Nordeste",-41.7007272,-12.579738
2016-04-02,"Minas_Gerais",6693,"Sudeste",-44.5550308,-18.512178
2016-04-02,"Espirito_Santo",1382,"Sudeste",-40.3088626,-19.1834229
2016-04-02,"Rio_de_Janeiro",25930,"Sudeste",-43.1728965,-22.9068467
2016-04-02,"Sao_Paulo",1500,"Sudeste",-46.6333094,-23.5505199
2016-04-02,"Parana",1540,"Sul",-52.0215415,-25.2520888
2016-04-02,"Santa_Catarina",62,"Sul",-50.2188556,-27.2423392
2016-04-02,"Rio_Grande_do_Sul",195,"Sul",-51.2176986,-30.0346316
2016-04-02,"Mato_Grosso_do_Sul",296,"Centro-Oeste",-54.7851531,-20.7722295
2016-04-02,"Mato_Grosso",16055,"Centro-Oeste",-56.921099,-12.6818712
2016-04-02,"Goias",920,"Centro-Oeste",-50.1403832,-15.93397
2016-04-02,"Distrito_Federal",233,"Centro-Oeste",-47.8644715,-15.7997654
2016-04-23,"Acre",716,"Norte",-70.8119953,-9.0237964
2016-04-23,"Amapa",127,"Norte",-50.7874222,2.0447397
2016-04-23,"Amazonas",2172,"Norte",-65.8560646,-3.4168427
2016-04-23,"Para",1079,"Norte",-54.9306152,-1.9981271
2016-04-23,"Rondonia",783,"Norte",-63.580611,-11.5057341
2016-04-23,"Roraima",56,"Norte",-62.0750998,2.7375971
2016-04-23,"Tocantins",3612,"Norte",-48.2982474,-10.17528
2016-04-23,"Alagoas",1906,"Nordeste",-36.7819505,-9.5713058
2016-04-23,"Bahia",34507,"Nordeste",-41.7007272,-12.579738
2016-04-23,"Ceara",676,"Nordeste",-39.3206241,-5.4983977
2016-04-23,"Maranhao",1877,"Nordeste",-45.2744159,-4.9609498
2016-04-23,"Paraiba",1745,"Nordeste",-36.7819505,-7.2399609
2016-04-23,"Pernambuco",367,"Nordeste",-36.954107,-8.8137173
